index,aid,code,source,target,eventtext,sentence,sentence_id
240,22824014,010,The papers.,Swiss [CHE].,.,"The papers noted that more than 200 Swiss nationals lived in Lebanon , many of them married to Lebanese ..",15
241,22824014,010,newspaper ... Geneve [CHEMED].,Mr. Hariri ... main demand.,.,"One newspaper , Tribune de Geneve , noted that Mr. Hariri 's main demand was release of two brothers , Mohammed Ali Hamadei and Abbas Ali Hamadei , who are imprisoned in West Germany for terrorism ..",17
242,22824014,173,.,Mr. Hariri.,<*1*> ... imprisoned in Isr ... in <*2*>.,Mr. Hariri was imprisoned in Israel in 1984 on terrorist charges after being found with a hand grenade ..,22
243,22824014,173,Israel [ISR].,Mr. Hariri.,<*1*> ... imprisoned in Isr ... in <*2*>.,Mr. Hariri was imprisoned in Israel in 1984 on terrorist charges after being found with a hand grenade ..,22
244,22824014,084,an exchange.,.,<*1*> ... released in <*2*> ... in <*3*>.,He was released in 1985 in an exchange ..,23
245,22824014,130,BEIRUT [LBN].,today.,threatened.,"ARABS WARN SWISS ON HIJACKER BEIRUT , Lebanon , July 25 -LRB- Reuters -RRB- - A previously unknown group threatened today to strike at Swiss interests if Switzerland handed over to France the hijacker who killed a French passenger aboard the Air Afriqe DC-10 ..",24
246,22824014,130,SWISS [CHE].,today.,threatened.,"ARABS WARN SWISS ON HIJACKER BEIRUT , Lebanon , July 25 -LRB- Reuters -RRB- - A previously unknown group threatened today to strike at Swiss interests if Switzerland handed over to France the hijacker who killed a French passenger aboard the Air Afriqe DC-10 ..",24
247,22824014,010,a ... caller.,radio station ... a <RADIO> <STATION> [*5*MED].,told.,"`` We warn the Swiss authorities that we will strike at all Swiss establishments in the region if the Swiss Government hands over freedom fighter Hussein Hariri to French authorities , '' a caller , who said he was speaking on behalf of what he called the Green Cells , told a radio station run by Lebanon 's Shiite Moslem Amal militia ..",25
248,22900810,010,The Rural Justice Center ... a nonprofit research.,percent.,.,"The Rural Justice Center , a nonprofit research and consulting organization based in North Conway , N.H. , says 79 percent of the courts of general jurisdiction in the country - those other than specialty courts , like probate courts - are in rural areas , serving 55 million citizens ..",4
249,22900810,173,men <THE> ... men [*1*PPL].,Monday ... Eddie Hatcher ... Timothy Jacobs ... life imprisonment.,arrested.,"The two men arrested Monday , Eddie Hatcher , 30 years old , and Timothy Jacobs , 19 , face possible life imprisonment if convicted on Federal charges ..",6
250,22900810,031,Indian [IND].,defense.,said ... would ... aid.,The American Indian Movement also said it would investigate and aid in their defense ..,8
251,22900810,031,American [USA].,defense.,said ... would ... aid.,The American Indian Movement also said it would investigate and aid in their defense ..,8
252,22900810,190,whites.,the ... process.,dominate.,"Legal segregation is long gone and blacks and Indians are represented in local governments , but whites still dominate the political and judicial process ..",13
253,22900810,111,Blacks <BLACKS> ... Indians [*1*CVL].,second place.,are ... fighting for.,`` Blacks and Indians are always fighting for second place . ''.,15
254,22900810,010,the group.,rural areas.,.,And the group says rural areas often lack social services and aggressive defense attorneys to balance a vigorous law-enforcement system ..,34
255,22900810,050,Dismissal Rate Critics ... admirers.,Mr. Britt.,.,# 7 % Dismissal Rate Critics and admirers agree that Mr. Britt runs a highly effective prosecutorial system ..,35
256,22900810,110,.,defendants.,said <*2*> ... discouraged from <--->.,"It said that defendants are discouraged from seeking counsel , and that in 65 percent of the felony cases with counsel that were studied , the defense attorney did not file any motions ..",42
257,22900810,010,the defendant.,attorney <ATTORNEY> [*2*JUD].,.,"In every case but one , the defendant said his attorney spent less than 30 minutes discussing the case with him ..",43
258,22900810,010,minister [*1*GOV].,the ... hostage incident ... other protests.,.,"Joy J. Johnson , a black minister and a leader of the group , said the hostage incident and other protests reflect a new level of activism in the minority communities ..",51
259,22900810,014,state officials <STATE> <OFFICIALS> [*4*GOV].,proposals.,<*3*> ... considered <&PROPOSAL>.,"As a result of such attitudes , proposals for changes in the judicial system are being considered by state officials ..",54
260,22900810,030,Mr. Freeman.,a ... study.,said <*2*> ... planned.,"For example , Mr. Freeman said a study was planned for this spring on whether a full-time public defender 's office should be established to replace the current practice of judges ' appointing local lawyers to represent indigent defendants ..",55
261,22900810,040,Sheriff <SHERIFF> Stone [*1*COP].,general criticisms.,said ... is <HEARS>.,Sheriff Stone said he hears general criticisms but is met with silence when asked for specific complaints ..,57
262,22900810,111,critics.,the problems.,.,"And even most critics say the problems have less to do with race than with class and a history of poor education that has left the county with crime , poverty and illiteracy ..",60
263,22900810,040,Harbert Moore ... a leader.,years.,go.,"`` These problems do not go back 10 years - they go back 100 years , '' said Harbert Moore , a leader in the Indian community ..",61
264,23804549,060,South Africa [ZAF].,the world.,leads.,"With more than four million people infected with H.I.V. , South Africa leads the world in cases of the virus ..",9
265,23804549,060,The law.,minister <THE> <HEALTH> <MINISTER> [*2*GOV].,is ... giving.,"The law , the companies argue , is flawed and dangerous , giving the health minister unconstitutionally excessive and arbitrary power and violating international agreements on patent protections ..",15
266,23804549,060,The law.,power.,is ... giving.,"The law , the companies argue , is flawed and dangerous , giving the health minister unconstitutionally excessive and arbitrary power and violating international agreements on patent protections ..",15
267,23804549,040,hundreds.,the courthouse.,had assembled.,"This morning , hundreds of people had assembled near the courthouse , where they were led in prayer by the Roman Catholic archbishop , George Daniel , and the Anglican bishop , David Beetge ..",20
268,23986191,010,government officials <GOVERNMENT> <OFFICIALS> [*3*GOV].,Wednesday.,said.,"A Turkish construction engineer has been kidnapped and killed by suspected Islamic militants opposed to the international reconstruction effort in Afghanistan , government officials said Wednesday ..",0
269,23986191,111,President Hamid Karzai [AFGGOV].,the attack.,condemned.,"President Hamid Karzai , who celebrated his inauguration to a new five-year term last week , condemned the attack ..",8
270,23986191,010,.,a ... statement.,said.,"`` I am angered that the enemies of Afghanistan have killed a brother and fellow Muslim in pursuit of their goal of disrupting reconstruction in Afghanistan , '' he said in a statement released by his office ..",9
271,23986191,190,workers ... workers <AID> <WORKERS> <ELECTION> <WORKERS> ... contractors [*1*LAB].,this year.,have died.,"Some 40 aid workers , election workers and contractors have died this year in violence that officials say has mostly been directed at unarmed foreign and Afghan staff engaged in reconstruction work ..",10
272,23986191,010,The United States Embassy [USAGOV].,a ... statement.,released ... statement.,The United States Embassy here in the capital released a statement saying the country would not be stopped from building roads in Kunar or any other province ..,12
273,24069309,183,A suicide bomber.,A ... pickup truck.,<&WEAPON> ... blew.,"A suicide bomber drove a pickup truck loaded with explosives into a central market on Saturday in a small Shiite town north of Baghdad and blew up the vehicle , killing at least 20 people and injuring at least 30 , a police official said ..",0
274,24069309,183,A suicide bomber.,the vehicle.,"<&WEAPON> ... blew <['BLEW',> <'UP',> <'-> <&WEAPON> <*>                                           <[183]>         <#> <EXPLODE']>.","A suicide bomber drove a pickup truck loaded with explosives into a central market on Saturday in a small Shiite town north of Baghdad and blew up the vehicle , killing at least 20 people and injuring at least 30 , a police official said ..",0
275,24069309,030,Sunni ... insurgent groups <SUNNI> <ARAB> <INSURGENT> <GROUPS> [*2*MUSREB].,attacks.,have promised.,"Sunni Arab insurgent groups in recent months have promised attacks on Shiites , as they try to wage civil war here ..",3
276,24069309,190,Violence.,Americans.,struck.,Violence also struck Americans on Saturday ..,5
277,24069309,190,American soldier [USAMIL].,the morning north.,<and> ... died.,"One American soldier died in the morning north of Baghdad , near the town of Beiji , and the other two were killed in southern Baghdad , the military said in a statement ..",7
278,24069309,190,American soldier [USAMIL].,the ... town.,<and> ... died.,"One American soldier died in the morning north of Baghdad , near the town of Beiji , and the other two were killed in southern Baghdad , the military said in a statement ..",7
279,24069309,040,An alliance.,A ... news conference.,held ... conference.,"An alliance of the country 's secular parties , led by Ayad Allawi , the former prime minister , held a news conference in Mr. Allawi 's headquarters in Mansour , an upscale neighborhood in central Baghdad , while its strongest rival -- a broad alliance of Shiite religious parties -- held its own news conference several hours later ..",10
280,24069309,042,The sectarianism.,sectarian ... fights.,will lead to.,"`` The sectarianism will lead to sectarian fights , which has a beginning but no end . ''.",14
281,24069309,040,religious Shiites.,the ... headquarters.,gathered.,"Several hours later , religious Shiites gathered in the headquarters of Abdul Aziz al-Hakim , the Shiite leader of the conservative Supreme Council for the Islamic Revolution in Iraq , for their own campaign kickoff ..",15
282,24069309,042,senior officials.,The gathering.,<*3*> ... attended by <*9*>.,"The gathering , led by Mr. Hakim , was attended by senior officials from some of the major ruling Shiite groups , including the Dawa Islamic Party , which counts Prime Minister Ibrahim al-Jaafari as a member , and the Sadr Organization , led by Moktada al-Sadr , the rebellious Shiite cleric ..",16
283,24069309,010,Mr. Hakim.,The ... rule.,said ... referring.,"`` The united Iraqi alliance is a natural reaction to the previous dictatorship , '' Mr. Hakim said , referring to the rule of Saddam Hussein ..",18
284,24069309,030,The alliance.,parliament <THE> <NEXT> <PARLIAMENT> [*3*LEG].,will.,`` The alliance will emerge foremost among the blocs in the next parliament . ''.,19
285,24069309,030,The alliance.,The ... blocs.,will.,`` The alliance will emerge foremost among the blocs in the next parliament . ''.,19
286,24069309,010,Soldiers ... soldiers [*1*MIL].,Saturday.,said.,"Two Soldiers Die in Kuwait KUWAIT CITY , Oct. 29 -LRB- Agence France-Presse -RRB- -- Two American soldiers stationed in Kuwait as part of the operation in Iraq have died of noncombat-related causes at two American military sites in the emirate , the United States military said Saturday ..",20
287,24069309,015,Soldiers ... soldiers [*1*MIL].,noncombat-related causes.,said <DIED>.,"Two Soldiers Die in Kuwait KUWAIT CITY , Oct. 29 -LRB- Agence France-Presse -RRB- -- Two American soldiers stationed in Kuwait as part of the operation in Iraq have died of noncombat-related causes at two American military sites in the emirate , the United States military said Saturday ..",20
288,23809852,040,AFTER THE TALIBAN.,temporary headquarters.,arrived.,"-LRB- KEITH MEYERS/The New York Times -RRB- ; AFTER THE TALIBAN -- Hamid Karzai , above center , who was made interim leader by Afghan factions meeting in Germany , arrived at his temporary headquarters to find supplicants waiting ..",4
289,23809852,040,MIDEAST MAYHEM.,Dec..,left.,"-LRB- JAMES HILL for The New York Times -RRB- ; -LRB- ERIK ECKHOLM/The New York Times -RRB- ; MIDEAST MAYHEM -- One of the 15 people killed by a Palestinian suicide bomber on a Haifa bus , left , on Dec. 2 ..",6
290,23897044,190,protesters ... an <PROTESTERS> [*1*OPP].,a ... rally.,had engaged.,"By early evening , an estimated 7,000 protesters had engaged in a loud but peaceful rally within earshot of the Waldorf on Park Avenue , and then disbanded ..",4
291,23897044,010,Police Commissioner <POLICE> <COMMISSIONER> Raymond W. Kelly [*1*COP].,last night.,said.,"`` So far , so good , '' Police Commissioner Raymond W. Kelly said last night , although he added that other challenges remained ..",6
292,23897044,030,more protests.,another.,are planned.,"In addition , two more protests are planned for today and another on Monday ..",8
293,23897044,040,hundreds.,spots.,had gathered.,"At the same time , on 59th Street along the southern rim of Central Park , hundreds of other demonstrators had gathered in two spots  on the West Side , near Columbus Circle , and at the corner of Fifth Avenue , across from the Plaza Hotel ..",23
294,23897044,010,Mary Libby.,Mary Libby.,.,"Mary Libby , 25 , who said she worked with the homeless in Michigan , explained that she was `` trying to reclaim the streets and our lives . ''.",27
295,23897044,061,.,Elton John.,objected ... paying.,She objected to paying Elton John a substantial fee to perform for an hour or two `` when that money could be used to feed the homeless right outside the building they are in . ''.,29
296,23897044,061,.,a ... substantial fee.,objected ... paying.,She objected to paying Elton John a substantial fee to perform for an hour or two `` when that money could be used to feed the homeless right outside the building they are in . ''.,29
297,23897044,08,some.,a ... few smiles.,allowed.,Even some in the blue arc of police officers around the scene allowed a few smiles ..,32
298,23897044,08,The intense preparation.,a ... smile.,may ... allowed.,The intense preparation by the Police Department may have allowed for a relaxed smile or two from its ranks ..,33
299,23897044,090,Commissioner Kelly.,the scene.,was planning ... monitor.,"As late as yesterday morning , police officials were meeting with Mayor Michael R. Bloomberg to go over last-minute details , and Commissioner Kelly was planning to monitor the scene in a helicopter ..",34
300,23897044,010,.,general cooperation.,might ... seen.,"From above , he might have seen general cooperation between those in blue and those who were not ..",35
301,23897044,010,Ronald L. Kuby.,the ... sides.,.,"Ronald L. Kuby , one of the lawyers , later said that the two sides were ironing out minor details , like whether speakers could stand on the pedestal of a statue of Gen. William Tecumseh Sherman ..",37
302,23897044,040,most.,the ... others.,<and> ... joined.,"By 115 p.m. , most of the protesters who had assembled at Columbus Circle had joined the others in front of the Plaza , and together they began a somewhat circuitous march toward the Waldorf , where hundreds of other demonstrators were continuing to chant and poke the sky with their placards ..",40
303,23897044,08,the parade.,A ... small counter demonstration.,passed.,"And at East 51st Street and Lexington Avenue , the parade passed a small counter demonstration , in which people waved signs that said , `` The Police Are Great , It 's Terrorists We Hate , '' and `` Seek Therapy . ''.",45
304,23897044,010,Mr. Kelly.,police ... the police [*2*COP].,.,Mr. Kelly said that the police had received information that this group -- which included people who he said were carrying plastic shields and masks -- `` were about to attack the police . ''.,49
305,23897044,010,spokeswoman <DEBRA> <SWEET> ... a <SPOKESWOMAN> [*2*MED].,last night.,said.,"Debra Sweet , a spokeswoman for an activist organization called Refuse and Resist , said last night that the circumstances of the arrests were unclear ..",50
306,23897044,190,dozens ... many.,A ... group.,<*2*> ... surrounded by <*7*>.,"At Grand Central Terminal , a group of about 200 protesters entered the station just after 7 p.m. and were surrounded by dozens of uniformed police officers , many of them from the Metropolitan Transportation Authority ..",56
307,23897044,190,protesters ... the <PROTESTERS> [*1*OPP].,drums.,were <BEAT>.,"The protesters clapped , sang and beat on drums , and were then surrounded by the police ..",59
308,23184353,141,Nigerian workers [NGALAB].,the violence.,seemed <WORKERS> ... join.,"Few Nigerian workers seemed to join in the violence , which began last week as a protest against a gasoline shortage ..",1
309,23184353,010,Nigeria ... Information Minister [NGAGOVMED].,Wednesday night.,said.,"Nigeria 's Information Minister , Sam Oyovbaire , said Wednesday night that the gasoline shortage in Nigeria , Africa 's leading oil-producing country , would end within three days ..",5
310,22597726,010,Rosalynn Carter.,today.,said.,Rosalynn Carter said today that Senator Edward M. Kennedy was a poor loser who `` tore the Democratic Party to pieces '' in 1980 when he ran in the primaries against President Carter ..,0
311,22597726,010,Mrs. Carter.,a.,said.,"`` I thought that Senator Kennedy had a perfect right to run against an incumbent President of his own party if he disagreed with him , '' Mrs. Carter said in a taped interviewed on ABC-TV 's `` Good Morning America . ''.",1
312,24054078,010,government ... the <GOVERNMENT> [*1*GOV].,The ... attack.,.,"The government said the attack would not derail its planned withdrawal of settlers from the Gaza Strip , which is set for next month ..",1
313,24054078,015,Islamic <ISLAMIC> Jihad [*1*MUS].,responsibility.,claimed responsibility.,"Islamic Jihad , which has carried out many of the suicide bombings against Israel , claimed responsibility for the mall attack ..",6
314,24054078,111,Mahmoud Abbas [PSEGOV].,the ... bombing.,condemned ... bombing.,"In Ramallah , on the West Bank , the Palestinian leader , Mahmoud Abbas , harshly condemned the bombing as `` a crime against the Palestinian people , '' but he did not mention Islamic Jihad specifically ..",9
315,24054078,111,Palestinian [PSE].,the ... bombing.,condemned ... bombing.,"In Ramallah , on the West Bank , the Palestinian leader , Mahmoud Abbas , harshly condemned the bombing as `` a crime against the Palestinian people , '' but he did not mention Islamic Jihad specifically ..",9
316,24054078,110,Islamic <ISLAMIC> Jihad [*4*MUS].,The first.,<*1*> ... claimed by <*4*MUS>.,"The first killed five Israelis at a Tel Aviv nightclub just two weeks after the truce was announced , and was also claimed by Islamic Jihad ..",13
317,24054078,190,The first.,Israelis [ISR].,<and> ... killed.,"The first killed five Israelis at a Tel Aviv nightclub just two weeks after the truce was announced , and was also claimed by Islamic Jihad ..",13
318,24054078,190,The first.,weeks.,<and> ... killed.,"The first killed five Israelis at a Tel Aviv nightclub just two weeks after the truce was announced , and was also claimed by Islamic Jihad ..",13
319,24054078,195,the ... bomber.,.,<&AIRCRAFT> ... struck.,"In the attack on Tuesday , the bomber struck shortly before 7 p.m. , detonating his explosives at a crosswalk just outside the Sharon mall ..",15
320,24054078,190,A suicide bombing a ... few steps.,Israelis [ISR].,killed.,"A suicide bombing at the mall 's entrance , just a few steps away from the site of Tuesday 's blast , killed five Israelis in May 2001 ..",16
321,24054078,190,The blast.,The ... mall ... plate-glass windows.,shattered.,The blast shattered the mall 's plate-glass windows ..,17
322,24054078,040,police officers <AMBULANCES> <POLICE> <OFFICERS> [*1*COP].,the scene.,converged.,"Ambulances and police officers converged on the scene , rushing to assist the wounded ..",19
323,24054078,040,Israelis [ISR].,the mall.,were flocking.,"On a hot summer night , young Israelis were flocking to the mall to hang out , and they accounted for many of the wounded ..",21
324,24054078,010,Islamic <ISLAMIC> Jihad [*1*MUS].,attacks.,.,"In the past , Islamic Jihad has said its attacks are in response to Israeli raids that led to the arrest of its members or the killing of Palestinians ..",24
325,24054078,084,Earlier Tuesday.,final results.,released.,"Earlier Tuesday , Palestinian education officials released final results for students graduating from high school , and those who passed spent the day celebrating ..",25
326,24054078,08,The ... burning vehicle.,Palestinian [PSE].,<PSE> ... freed from <*2*> ... by <ISRMIL>.,"The driver , a Palestinian who was the only person reported injured , was tied to the truck and had to be freed from the burning vehicle by Israeli security forces , the official said ..",41
327,24054078,190,Israeli troops [ISRMIL].,A ... member.,killed.,"After the February attack , Israeli troops carried out arrest raids in the West Bank and soldiers killed a member of Islamic Jihad who was suspected of being involved ..",47
328,24068845,015,Palestinian ... Islamic [PSEMUS].,responsibility.,<and> ... claimed responsibility.,"The Palestinian faction Islamic Jihad claimed responsibility for the attack and called it retaliation for the killing on Sunday night of Luay Saadi , one of the group 's leaders , who was shot in Tulkarm , a West Bank town about 10 miles southeast of Hadera ..",6
329,24068845,111,Mahmoud Abbas [PSEGOV].,The bombing.,<*1*> ... condemned <BOMBING>.,"The bombing was condemned by the Palestinian leader , Mahmoud Abbas , who only hours earlier had criticized militant Palestinian groups for violating a truce with Israel ..",7
330,24068845,111,Palestinian [PSE].,The bombing.,<*1*> ... condemned <BOMBING>.,"The bombing was condemned by the Palestinian leader , Mahmoud Abbas , who only hours earlier had criticized militant Palestinian groups for violating a truce with Israel ..",7
331,24068845,010,.,a ... statement.,said.,"He said in a statement that the violence `` harms the Palestinian interests and could widen the cycle of violence , chaos , extremism and bloodshed . ''.",8
332,24068845,111,Mr. Abbas.,the ... recent renewal.,denounced.,"Speaking in the Palestinian parliament shortly before the bombing , Mr. Abbas denounced the recent renewal of Palestinian rocket fire from northern Gaza into southern Israel , which started after the death of Mr. Saadi ..",18
333,24068845,171,security forces ... the <SECURITY> <FORCES> [*4*MIL].,action.,have ... taken.,"But Mr. Abbas has sought to persuade the armed factions to halt attacks , and the security forces have rarely taken action against the militant groups ..",21
334,24068845,032,Mr. Abbas.,the armed factions.,has sought ... persuade.,"But Mr. Abbas has sought to persuade the armed factions to halt attacks , and the security forces have rarely taken action against the militant groups ..",21
335,24068845,010,military ... the <MILITARY> [*2*MIL].,attacks.,.,"Israel said it would halt incursions in Palestinian areas unless it faced the threat of attack , but the military says actual and planned attacks have been on the rise recently , prompting the frequent West Bank raids ..",23
336,24068845,030,Israel [ISR].,incursions.,said ... would.,"Israel said it would halt incursions in Palestinian areas unless it faced the threat of attack , but the military says actual and planned attacks have been on the rise recently , prompting the frequent West Bank raids ..",23
337,24068845,0341,Mr. Abbas.,Palestinian [PSE].,reiterated <PSE> ... held <ELECTIONS>.,"In his speech to parliament , Mr. Abbas reiterated that , barring an `` act of God , '' Palestinian parliamentary elections would be held as planned on Jan. 25 ..",24
338,24068845,110,Hamas [PSEREBHMS].,parliamentary elections.,is competing.,"Hamas is competing in parliamentary elections for the first time , but says it has no intention of putting down its weapons ..",26
339,24068845,110,Hamas [PSEREBHMS].,the first time.,is competing.,"Hamas is competing in parliamentary elections for the first time , but says it has no intention of putting down its weapons ..",26
340,24068845,010,Hamas [PSEREBHMS].,an ... interview.,said.,"Certainly not the Palestinian Authority by itself , '' Dr. Mahmoud Zahar , a senior Hamas leader , said in an interview with the Israeli newspaper Haaretz ..",28
341,24068845,035,an agreement.,a ... thing.,will allow.,`` Only an agreement of all the groups will allow such a thing . ''.,29
342,24068845,020,Hamas [PSEREBHMS].,the destruction ... Dr. Zahar.,calls for.,"Hamas 's charter calls for the destruction of Israel , and Dr. Zahar was asked if Hamas would consider changing it ..",30
343,24068845,037,minister [ISRGOVMIL].,an ... agreement.,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
344,24068845,037,President Hosni Mubarak [EGYGOV].,an ... agreement.,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
345,24068845,037,an ... agreement.,minister [ISRGOVMIL].,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
346,24068845,037,an ... agreement.,President Hosni Mubarak [EGYGOV].,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
347,24068845,037,an ... agreement.,Israel [ISRGOV].,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
348,24068845,037,Israel [ISRGOV].,an ... agreement.,reached <&TREATY>.,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt ..",32
349,24068845,090,Goods.,a ... separate ... point.,will ... inspected at <*2*> ... at <*3*>.,"Goods will be inspected at a separate crossing point a few miles away , at the spot where the borders of Israel , Egypt and Gaza converge ..",35
350,24068845,180,Civilians [---CVL].,yesterday.,helped wounded.,<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> Civilians helped wounded Israelis yesterday after a Palestinian suicide bomber blew himself up at an outdoor market in the town of Hadera ..,36
351,24068845,190,many terror attacks.,Hadera.,<*1*> ... hit by <*3*>.,-LRB- Photo by George Ginsberg/Reuters -RRB- Map of Israel highlighting Hadera  Hadera has been hit by many terror attacks in the last five years ..,37
352,22779688,173,Morocco [MAR].,a ... team.,arrested.,"Morocco recently arrested a team of Palestinian terrorists who were preparing to bomb a synagogue in Casablanca on the Jewish New Year next weekend , according to Administration officials ..",0
353,22779688,010,Administration <ADMINISTRATION> officials [*1*GOV].,the ... last week.,.,Administration officials said the latest arrests was made in the last week ..,6
354,22779688,010,.,country.,.,"He said , however , that his country had been bracing for possible terrorist attacks since King Hassan and Mr. Peres met ..",11
355,22779688,100,Morocco [MAR].,visitors.,.,Morocco has begun demanding that visitors from some Arab countries obtain visas before they arrive ..,12
356,22779688,010,Mr. Bourzaim.,Jews <JEWS> [*2*JEW].,.,"Mr. Bourzaim said 15,000 to 20,000 Jews live in Morocco , most of them in Casablanca , a city of three million people ..",16
357,22779688,010,officials.,forces.,.,"Israeli and American officials said there were indications that the operation was carried out by forces linked to Abu Nidal , a Palestinian who broke away from Yasir Arafat , chairman of the Palestine Liberation Organization ..",23
358,22779688,040,The bad guys.,soft targets.,are going.,"`` The bad guys are going after soft targets , '' he said ..",26
359,24008049,010,Mr. Kerry.,an ... audience.,told.,"Fleshing out the details of his education plan as he wrapped up a three-day West Coast swing , Mr. Kerry told an audience at a high school here , near San Bernardino , that he would attract , or keep from quitting , 500,000 teachers over four years in what aides said would be the biggest federal expenditure of money for teacher salaries yet ..",2
360,24008049,040,proposal Thursday.,the grain.,went.,"His proposal Thursday on teacher pay , too , went against the grain of liberal orthodoxy , as a partisan , teacher-heavy crowd showed in its reaction ..",7
361,24008049,020,.,return.,must ask.,And we must ask more in return ..,10
362,24008049,100,Mr. Kerry.,accountability.,said ... would demand.,"Mr. Kerry said he would demand accountability of poor teachers by setting up speedy evaluation processes , including peer review , to remove them ..",13
363,24008049,030,.,due process.,said ... would ensure.,He said he would ensure due process for teachers through their contracts with schools ..,17
364,24008049,010,Kati Haycock ... director.,Mr. Kerry.,.,"Kati Haycock , director of the Education Trust , a nonpartisan organization in Washington , said Mr. Kerry was showing political courage by taking on pay-for-performance and risking the ire of the National Education Association ..",19
365,24008049,041,spokesman ... a <SPOKESMAN> [*2*MED].,Mr. Kerry.,.,"A spokesman for the National Education Association , Michael Pons , called Mr. Kerry 's the `` most comprehensive '' proposal on teacher quality he had ever seen from a presidential candidate and said that it included much that the union wanted  higher pay , mentoring and professional development programs and heightened standards for new teachers ..",21
366,24008049,010,.,some.,.,"But he noted that even some of the union 's affiliates -- in Arizona , New Mexico , Denver and North Carolina -- had embraced pay-for-performance measures much like Mr. Kerry 's ..",23
367,24008049,020,Mr. Kerry ... plan.,new standards.,envisions applying.,"Mr. Kerry 's plan also envisions applying new standards to colleges of education , by monitoring their graduates as they take jobs in schools , seeing how much their students learn and making future federal aid to those colleges of education contingent on their graduates ' meeting federally set performance levels ..",29
368,22598172,190,Jews <SEVERAL> <HASIDIC> <JEWS> [*1*JEW].,last night.,broke.,Several hundred Hasidic Jews broke through police barriers last night surrounding the Manhattan auditorium where the Prime Minister Shimon Peres of Israel was speaking to protest the bulldozing of an ancient graveyard in Israel ..,0
369,22598172,042,protesters ... the <PROTESTERS> [*1*OPP].,the ... main entrance.,<and> ... headed for.,"Shortly before 10 P.M. the protesters rushed from their cars , past police sawhorses and headed for the main entrance ..",2
370,22598172,010,Mr. Peres.,Jewish ... Jewish educators <JEWISH> <YOUTH> <GROUPS> <JEWISH> <EDUCATORS> [*2*JEWEDU].,was speaking.,Mr. Peres was speaking to Jewish youth groups and Jewish educators ..,4
371,23887704,041,Michal.,.,called.,"Right away she called her 16-year old daughter , Michal ..",4
372,23887704,041,.,Michal.,called.,"Right away she called her 16-year old daughter , Michal ..",4
373,23887704,060,The state social security agency.,benefits.,is providing.,"The state social security agency is providing benefits to just over 2,000 direct relatives of the deceased , said Chaja Eichler , a social worker with the agency ..",7
374,23887704,016,.,family.,can ... describe <*2*> ... destroyed.,"`` I can not even describe how our family has been destroyed , '' Nili Hafsadi said through sobs ..",9
375,23887704,010,Nili Hafsadi.,sobs.,said.,"`` I can not even describe how our family has been destroyed , '' Nili Hafsadi said through sobs ..",9
376,23887704,190,a ... suicide bombing.,20-year old son ... Nir.,<*1*> ... killed ... in <*2*>.,"Her 20-year old son , Nir , was killed last December in a suicide bombing in downtown Jerusalem ..",10
377,23887704,040,this group.,a ... particular dilemma.,faces.,"But this group , relatives of people who have died in suicide attacks , faces a particular dilemma  how to classify the death ?.",15
378,23887704,011,.,death  as  random.,do.,"`` I do not see her death as random , '' he said ..",27
379,23887704,190,.,al kadush ha Shem.,died.,She died al kadush ha Shem . ''.,29
380,23887704,030,Hebrew <THAT> <HEBREW> phrase [*1*JEW].,the sanctity.,means.,"That Hebrew phrase means , literally , `` the sanctity of God . ''.",30
381,23887704,020,Palestinians [PSE].,Shaheed.,<*1*> ... applied by <PSE>.,"Shaheed is the Arabic word for holy martyrs and is applied by Palestinians to suicide bombers , like the one who killed Malki Roth ..",33
382,23887704,010,Mr. Roth.,conclusion.,said.,Mr. Roth said his conclusion that his daughter died a martyr provides him no comfort ..,43
383,23887704,046,President Moshe Katsav [ISRGOV].,a ... podium.,spoke ... between.,"President Moshe Katsav spoke from a podium set in the angle between bleached stone walls bearing stark , black plaques ..",50
384,23887704,046,a ... podium.,President Moshe Katsav [ISRGOV].,spoke ... between.,"President Moshe Katsav spoke from a podium set in the angle between bleached stone walls bearing stark , black plaques ..",50
385,23887704,046,bleached stone walls.,President Moshe Katsav [ISRGOV].,spoke ... between.,"President Moshe Katsav spoke from a podium set in the angle between bleached stone walls bearing stark , black plaques ..",50
