v1,id_string,story_date,year,month,day,source,source_root,source_agent,source_others,target,target_root,target_agent,target_others,code,root_code,quad_class,goldstein,joined_issues,lat,lon,placename,statename,countryname,documentcountryname,ids,urls,sources,text,web_url,aid
157,3586611_v0.0.0,19880320,1988,03,20,---REB,,REB,,---AGR,,,AGR,130,13,3,-4.4,,,,,,,,5e42d9d9367baed034345580_8,---,NYT,Peasants Given Warnings The rebels have warned peasants not to vote in several outlying areas .,---,22930509
158,3586612_v0.0.0,20000119,2000,01,19,---MED,,MED,,---MED,,MED,,114,11,3,-2.0,"HOUSING_PRICES,1",,,,,,,5e42d9d9367baed0343455b7_12,---,NYT,"Fumihiro Joyu , the group 's charismatic former spokesman who is now its second-highest official , extended his apologies to victims of crimes linked to Aum and said it would compensate them through sales of real estate and other assets .",---,23771438
159,3586613_v0.0.0,19861227,1986,12,27,---COP,,COP,,---OPP,,OPP,,112,11,3,-2.0,"VIOLENT_UNREST,1;SECURITY_SERVICES,1",27.18096,31.18368,AsyÅ«Å£,Muá¸©ÄfazÌ§at AsyÅ«Å£,EGY,,5e42d9d9367baed034345569_1,---,NYT,The police fired tear gas and charged the demonstrators with clubs to disperse them as they marched through the streets of Asyut shouting anti government slogans .,---,22738172
160,3586614_v0.0.0,19830512,1983,05,12,---COP,,COP,,---EDU,,EDU,,190,19,4,-10.0,"SECURITY_SERVICES,1;STUDENTS,1",43.55135,7.01275,Cannes,,FRA,,5e42d9d9367baed03434554e_0,---,NYT,"Riot policemen battled hundreds of students who demonstrated in Paris , Cannes and other French cities today to protest the Socialist Government 's proposed changes in education .",---,22561249
161,3586615_v0.0.0,19990623,1999,06,23,---PTY,,PTY,,GBR,GBR,,,010,01,0,0.0,"ID_DEMOCRACY,1",51.50853,-0.12574,London,England,GBR,,5e42d9d9367baed0343455ab_8,---,NYT,"A key member of the alliance , the Democratic Party leader Zoran Djindjic , said today in London that the Yugoslav President , Slobodan Milosevic , would survive for a time , but be ousted within a year .",---,23689587
162,3586616_v0.0.0,20020203,2002,02,03,---COP,,COP,,---OPP,,OPP,,190,19,4,-10.0,"SECURITY_SERVICES,1",,,,,,,5e42d9d9367baed0343455d3_59,---,NYT,"The protesters clapped , sang and beat on drums , and were then surrounded by the police .",---,23897044
163,3586617_v0.0.0,19840618,1984,06,18,IND,IND,,,IND,IND,,,141,14,4,-6.5,,29.92009,73.87496,GangÄnagar,,IND,,5e42d9d9367baed034345556_16,---,NYT,"The United News of India said about 5,000 Sikhs carrying placards marched through the streets of the northwestern Indian town of Sri Ganganagar , demanding the withdrawal of the military from Punjab .",---,22601211
164,3586618_v0.0.0,19840618,1984,06,18,---MED,,MED,,---OPP,,OPP,,060,06,2,6.0,,19.07283,72.88261,Mumbai,,IND,,5e42d9d9367baed034345556_17,---,NYT,"Large Protests in Several States The press agency also reported large protests in the states of Kashmir , Madhya Pradesh , Karnataka , Bombay and Uttar Pradesh , but gave no estimates of the number of protesters involved .",---,22601211
165,3586619_v0.0.0,20010720,2001,07,20,FRA,FRA,,,CAN,CAN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
166,3586620_v0.0.0,19830502,1983,05,02,---GOV,,GOV,,---CHRGOV,,,CHR;GOV,110,11,3,-2.0,,,,,,,,5e42d9d9367baed034345552_22,---,NYT,"The Government had mounted an extensive campaign over the past few weeks to discourage participation in the Solidarity rallies , including an unprecedented request to the Roman Catholic Church hierarchy from a member of the Communist Party Politburo to cancel Sunday morning masses .",---,22563042
167,3586621_v0.0.0,19870829,1987,08,29,---EDU,,EDU,,KORCOP,KOR,COP,,190,19,4,-10.0,"SECURITY_SERVICES,1;STUDENTS,1",37.566,126.9784,Seoul,Seoul,KOR,,5e42d9d9367baed034345578_3,---,NYT,Several thousand students fought riot policemen in Seoul and at least six other cities .,---,22838434
168,3586622_v0.0.0,19831127,1983,11,27,---LAB,,,LAB,---LAB,,,LAB,010,01,0,0.0,"ECONOMIC_MOVEMENT,1",,,,,,,5e42d9d9367baed03434554c_28,---,NYT,"Then , according to Howard Green , reasearch director of the state 's Historical commission , the workers saw themselves as ` making history ' and decided to make a movie documenting the labor struggle .",---,22538818
169,3586623_v0.0.0,19850106,1985,01,06,---CHRGOV,,,CHR;GOV,---LEG,,,LEG,043,04,1,2.8,,-26.20227,28.04363,Johannesburg,Gauteng,ZAF,,5e42d9d9367baed034345561_6,---,NYT,"The incidents came shortly after Senator Kennedy was welcomed to Johannesburg by his hosts , Bishop Desmond Tutu , winner of the 1984 Nobel Peace Prize , and the Rev. Allan Boesak , President of the World Council of Reformed Churches .",---,22695844
170,3586624_v0.0.0,20041102,2004,11,02,ISRMIL,ISR,MIL,,---PPL,,,PPL,030,03,1,4.0,,32.22111,35.25444,Nablus,West Bank,PSE,,5e42d9d9367baed0343455dc_36,---,NYT,"In Nablus on Monday , Israeli troops killed three wanted men in an exchange of fire in an effort to arrest five suspects belonging to Al Aksa Martyrs Brigades .",---,23964526
171,3586625_v0.0.0,19860928,1986,09,28,MARGOV,MAR,GOV,,PSE,PSE,,,173,17,4,-5.0,"TERROR,1",,,,,,,5e42d9d9367baed03434556f_5,---,NYT,"In August the Moroccan Government arrested four Arabs - a Palestinian , two Tunisians and a Lebanese Palestinian - on terrorism charges .",---,22779688
172,3586626_v0.0.0,19880502,1988,05,02,---OPP,,OPP,,POL,POL,,,110,11,3,-2.0,"SECURITY_SERVICES,1;LABOR_UNIONS,1",54.35205,18.64637,GdaÅsk,WojewÃ³dztwo Pomorskie,POL,,5e42d9d9367baed03434557f_1,---,NYT,"About 500 people clashed with the police in the northern city of Gdansk today , and official May Day parades in several other Polish cities were countered by demonstrators bearing banners of the banned Solidarity trade union .",---,22925384
173,3586627_v0.0.0,20040130,2004,01,30,ISRMIL,ISR,MIL,,---CRM,,CRM,,084,08,2,7.0,"NAMED_TERROR_GROUP,1",31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455de_15,---,NYT,"In exchange for Mr. Tannenbaum and the remains of the three soldiers , Israel released a total of 429 prisoners , including 400 Palestinians , 23 Lebanese , 5 other Arabs and one German , who was accused of spying for Hezbollah in Israel .",---,23968047
174,3586628_v0.0.0,20020714,2002,07,14,PAK,PAK,,,---PPL,,,PPL,190,19,4,-10.0,,33.72148,73.04329,Islamabad,IslÄmÄbÄd Capital Territory,PAK,,5e42d9d9367baed0343455c0_8,---,NYT,"Five people , including three foreigners , were killed in March in a grenade attack on a church in Islamabad .",---,23850418
175,3586629_v0.0.0,20010720,2001,07,20,USA,USA,,,ITA,ITA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
176,3586630_v0.0.0,20010720,2001,07,20,JPN,JPN,,,GBR,GBR,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
177,3586631_v0.0.0,19830502,1983,05,02,---COP,,COP,,---CIV,,,CIV,100,10,3,-5.0,"SECURITY_SERVICES,1",,,,,,,5e42d9d9367baed034345552_36,---,NYT,After nearly an hour the police ordered the crowd to disperse .,---,22563042
178,3586632_v0.0.0,20050713,2005,07,13,ISR,ISR,,,PSEGOV,PSE,GOV,,111,11,3,-2.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455fa_39,---,NYT,"But Israel has criticized the Palestinian Authority for not forcefully breaking up the armed factions , as demanded by the current Middle East peace plan .",---,24054078
179,3586633_v0.0.0,20060118,2006,01,18,MED,,,,MED,,,,084,08,2,7.0,,,,,,,,5e42d9d9367baed0343455ec_3,---,NYT,Al Jazeera said she had asked the kidnappers to have pity and release her .,---,24022493
180,3586634_v0.0.0,19990623,1999,06,23,---GOV,,GOV,,---CVL,,CVL,,173,17,4,-5.0,"REFUGEES,1",44.25,17.83333,Bosnia and Herzegovina,,BIH,,5e42d9d9367baed0343455ab_38,---,NYT,"`` Milosevic 's regime , which is responsible for hundreds of thousands of Serb refugees from Croatia , Bosnia and now from Kosovo , is now arresting its latest and biggest victims , '' Mr. Vuksanovic said .",---,23689587
181,3586635_v0.0.0,19900206,1990,02,06,---LEG,,,LEG,DDR,DDR,,,054,05,1,6.0,,51.5,10.5,Federal Republic of Germany,,DEU,,5e42d9d9367baed034345586_30,---,NYT,<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <photo> East Germany 's power sharing agreement was formalized yesterday by Parliament .,---,23025062
182,3586636_v0.0.0,20040506,2004,05,06,---MIL,,MIL,,IRQOCCUAF,IRQ,,OCC;UAF,190,19,4,-10.0,,32.61603,44.02488,Karbala,Muá¸©ÄfazÌ§at KarbalÄâ,IRQ,,5e42d9d9367baed0343455df_8,---,NYT,"Soldiers killed at least 10 Iraqi fighters and captured 20 people in the first attack in Karbala , said Lieutenant colonel Gary Bishop of the First Armored Division .",---,23971704
183,3586637_v0.0.0,20051030,2005,10,30,---ELI,,,ELI,IRQOCCCVL,IRQ,,OCC;CVL,040,04,1,1.0,,33.34058,44.40088,Baghdad,,IRQ,,5e42d9d9367baed0343455fd_10,---,NYT,"An alliance of the country 's secular parties , led by Ayad Allawi , the former prime minister , held a news conference in Mr. Allawi 's headquarters in Mansour , an upscale neighborhood in central Baghdad , while its strongest rival -- a broad alliance of Shiite religious parties -- held its own news conference several hours later .",---,24069309
184,3586638_v0.0.0,19801227,1980,12,27,---OPP,,OPP,,INDAGR,IND,,AGR,050,05,1,3.5,"AGRICULTURE,2",19.03681,73.01582,Navi Mumbai,State of MahÄrÄshtra,IND,,5e42d9d9367baed034345540_11,---,NYT,Six opposition parties combined to organize the march in favor of a better deal for Maharashtra farmers who had been agitating for `` remunerative prices '' for their crops .,---,22356554
185,3586639_v0.0.0,20050301,2005,03,01,IRQOCCCOP,IRQ,,OCC;COP,SDNPPL,SDN,,PPL,173,17,4,-5.0,"SECURITY_SERVICES,1",33.34058,44.40088,Baghdad,Muá¸©ÄfazÌ§at BaghdÄd,IRQ,,5e42d9d9367baed0343455ef_36,---,NYT,"Police officers in Baghdad arrested a number of Sudanese men on Monday after closing several blocks around Sadoun Street , and gunfire could be heard in the neighborhood throughout the late morning .",---,24033916
186,3586640_v0.0.0,20050505,2005,05,05,---MUS,,,MUS,---GOV,,GOV,,030,03,1,4.0,,,,,,,,5e42d9d9367baed0343455f5_9,---,NYT,Sunnis say they are being shortchanged in the new government and fear vengeful Shiite leaders will purge government ranks of former members of Mr. Hussein 's Baath Party .,---,24044048
187,3586641_v0.0.0,20021010,2002,10,10,---MIL,,MIL,,---MIL,,MIL,,015,01,0,0.0,,,,,,,,5e42d9d9367baed0343455c8_19,---,NYT,The army said soldiers returned fire after shots were fired at an armored patrol along the border road .,---,23873100
188,3586642_v0.0.0,20040408,2004,04,08,---REBMUS,,REB,MUS,IRQOCC,IRQ,,OCC,074,07,2,8.5,,33.34913,43.78599,Al FallÅ«jah,Muá¸©ÄfazÌ§at al AnbÄr,IRQ,,5e42d9d9367baed0343455eb_60,---,NYT,"-LRB- Photo by Muhammed Muheisen/Associated Press -RRB- ; Sunni insurgents , above left , guarded the streets of Falluja yesterday .",---,24011196
189,3586643_v0.0.0,20011230,2001,12,30,---CVL,,CVL,,---MILUAF,,MIL,UAF,051,05,1,3.4,"ELECTION,1;TERROR,1",,,,,,,5e42d9d9367baed0343455bc_122,---,NYT,Voters favored military action against suspected terrorist installations in other countries .,---,23810040
190,3586644_v0.0.0,19990414,1999,04,14,---MIL,,MIL,,COLREB,COL,REB,,090,09,3,-2.0,,4.0,-73.25,Republic of Colombia,,COL,,5e42d9d9367baed0343455a1_0,---,NYT,"Soldiers searched the jungles of a remote region of northern Colombia today for Marxist rebels who hijacked a commercial airliner on Monday , kidnapping all 46 people on board and spiriting them down a river in canoes .",---,23657685
191,3586645_v0.0.0,19840404,1984,04,04,---UAF,,,UAF,---LEG,,,LEG,110,11,3,-2.0,"TERROR,1;POSTSECONDARY_EDUCATION,2;STUDENTS,1",30.86017,72.31976,Punjab,Punjab,PAK,,5e42d9d9367baed034345558_0,---,NYT,"The campaign of terrorist killings in the northern state of Punjab claimed a Member of the national Parliament today , a university professor who was gunned down in his drawing room by killers who had said they were students waiting to see him .",---,22611147
192,3586646_v0.0.0,20010720,2001,07,20,GBR,GBR,,,JPN,JPN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
193,3586647_v0.0.0,19850106,1985,01,06,---COP,,COP,,---OPP,,OPP,,180,18,4,-9.0,"SECURITY_SERVICES,1",-29.0,24.0,Republic of South Africa,,ZAF,,5e42d9d9367baed034345561_0,---,NYT,"White police officers scuffled with protesters tonight as Senator Edward M. Kennedy arrived in South Africa and was met by black demonstrators chanting , `` Kennedy go home ! ''",---,22695844
194,3586648_v0.0.0,19820817,1982,08,17,POL,POL,,,---COP,,COP,,010,01,0,0.0,"SECURITY_SERVICES,1",54.35205,18.64637,GdaÅsk,,POL,,5e42d9d9367baed03434554a_12,---,NYT,"Reports from the Baltic port of Gdansk said the security police were massed through the day outside the Lenin Shipyard , letting workers leave only in small groups .",---,22487915
195,3586649_v0.0.0,20040408,2004,04,08,IRQOCC,IRQ,,OCC,IRQOCC,IRQ,,OCC,173,17,4,-5.0,,33.34913,43.78599,Al FallÅ«jah,Muá¸©ÄfazÌ§at al AnbÄr,IRQ,,5e42d9d9367baed0343455eb_65,---,NYT,-LRB- Photo by Maurizio Gambarini/European Pressphoto Agency -RRB- ; FALLUJA -- U.S. marines detained a hooded Iraqi who was put in a pit normally used by car mechanics .,---,24011196
196,3586650_v0.0.0,20020506,2002,05,06,ISR,ISR,,,USA,USA,,,030,03,1,4.0,,39.76,-98.5,United States,,USA,,5e42d9d9367baed0343455cd_36,---,NYT,Israeli officials say Mr. Arafat was lying because he feared that an account of the meeting would become public and complicate his relationship with the United States .,---,23885794
197,3586651_v0.0.0,20010720,2001,07,20,CAN,CAN,,,DEU,DEU,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
198,3586652_v0.0.0,19880208,1988,02,08,---GOV,,GOV,,---JUD,,JUD,,014,01,0,0.0,,,,,,,,5e42d9d9367baed03434557b_54,---,NYT,"As a result of such attitudes , proposals for changes in the judicial system are being considered by state officials .",---,22900810
199,3586653_v0.0.0,19880204,1988,02,04,---MIL,,MIL,,PSE,PSE,,,190,19,4,-10.0,,,,,,,,5e42d9d9367baed034345582_29,---,NYT,Several soldiers fired in the direction of the Palestinians .,---,22935425
200,3586654_v0.0.0,20000119,2000,01,19,---LEG,,,LEG,---LEG,,,LEG,015,01,0,0.0,,,,,,,,5e42d9d9367baed0343455b7_21,---,NYT,"While the legislation did not mention Aum by name , lawmakers said it was targeted at the group .",---,23771438
201,3586655_v0.0.0,20020325,2002,03,25,SAU,SAU,,,LBN,LBN,,,060,06,2,6.0,,33.88894,35.49442,Beirut,Beyrouth,LBN,,5e42d9d9367baed0343455c3_4,---,NYT,Saudi and other Arab leaders had also urged Mr. Cheney to facilitate Mr. Arafat 's presence in Beirut .,---,23855331
202,3586656_v0.0.0,19861228,1986,12,28,SUN,SUN,,,SUN,SUN,,,030,03,1,4.0,,60.0,100.0,Russian Federation,,RUS,,5e42d9d9367baed03434556d_13,---,NYT,The Soviet Union has said it is prepared to withdraw its troops if a political solution can be reached .,---,22769770
203,3586657_v0.0.0,20030118,2003,01,18,PSE,PSE,,,JOR,JOR,,,010,01,0,0.0,,36.68604,25.6311,South Aegean,South Aegean,GRC,,5e42d9d9367baed0343455d5_9,---,NYT,"`` Long live Palestine , free and Arab , from the sea to the river , '' Mr. Hussein said , referring to the Mediterranean and the Jordan in an appeal for Arab support .",---,23919815
204,3586658_v0.0.0,20041115,2004,11,15,---REB,,REB,,IRQOCCCOPMILBUS,IRQ,,OCC;COP;MIL;BUS,190,19,4,-10.0,"SECURITY_SERVICES,2",33.0,44.0,Republic of Iraq,,IRQ,,5e42d9d9367baed0343455e4_26,---,NYT,"At noon , guerrillas ambushed a company of Iraqi police commandos as it moved to secure a police station that had been looted Thursday .",---,23989893
205,3586659_v0.0.0,20010306,2001,03,06,---OPP,,OPP,,USAGOV,USA,GOV,,141,14,4,-6.5,"ACTIVISM,1",-25.74486,28.18783,Pretoria,Gauteng,ZAF,,5e42d9d9367baed0343455ba_27,---,NYT,<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> AIDS activists marching to the American Embassy in Pretoria to protest a lawsuit aiming to block generic versions of AIDS drugs .,---,23804549
206,3586660_v0.0.0,19970910,1997,09,10,PSECOP,PSE,COP,,PSEREBHMSCOP,PSE,REB,HMS;COP,173,17,4,-5.0,"NAMED_TERROR_GROUP,1;SECURITY_SERVICES,1",31.5,34.46667,Gaza,Gaza Strip,PSE,,5e42d9d9367baed034345598_3,---,NYT,Hamas members and a Palestinian security officer in Gaza said that the police had rounded up as many as 200 members of the movement for questioning overnight Monday and that 50 to 100 of them had been jailed .,---,23547196
207,3586661_v0.0.0,19870726,1987,07,26,CHEGOV,CHE,GOV,,LBN,LBN,,,173,17,4,-5.0,"TERROR,1;RETALIATION,1",47.00016,8.01427,Swiss Confederation,,CHE,,5e42d9d9367baed034345573_1,---,NYT,"Switzerland 's President said today that a captured Lebanese hijacker would be put on trial , despite fears that the people of this peaceful and neutral country might face Arab terrorist reprisal .",---,22824014
208,3586662_v0.0.0,20051027,2005,10,27,PSE,PSE,,,PSE,PSE,,,1831,18,4,-10.0,"SUICIDE_ATTACK,2;SECURITY_SERVICES,1",32.44192,34.9039,HÌ±adera,Haifa,ISR,,5e42d9d9367baed0343455fc_0,---,NYT,"A Palestinian suicide bomber blew himself up Wednesday at a falafel stand in an outdoor market in Hadera , an Israeli coastal town , killing five other people and wounding more than two dozen , the Israeli police said .",---,24068845
209,3586663_v0.0.0,19871130,1987,11,30,KORCIV,KOR,,CIV,KORREB,KOR,REB,,050,05,1,3.5,,37.566,126.9784,Seoul,,KOR,,5e42d9d9367baed034345574_5,---,NYT,"The crowds in Seoul also heard a former general reveal new details of the Kwangju uprising of 1980 , which left nearly 200 dead by Government count and 2,000 by the opposition 's tally .",---,22830800
210,3586664_v0.0.0,20040408,2004,04,08,IRQOCCPPL,IRQ,,OCC;PPL,IRQOCC,IRQ,,OCC,090,09,3,-2.0,,33.34913,43.78599,Al FallÅ«jah,Muá¸©ÄfazÌ§at al AnbÄr,IRQ,,5e42d9d9367baed0343455eb_57,---,NYT,<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> Iraqi men yesterday dug through the ruins of a house in Falluja .,---,24011196
211,3586665_v0.0.0,20021201,2002,12,01,---UAF,,,UAF,ISR,ISR,,,190,19,4,-10.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455c6_27,---,NYT,"On Thursday evening , militants connected to Yasir Arafat 's Fatah faction killed six Israelis with a gun-and-grenade attack on a polling place in northern Israel .",---,23861036
212,3586666_v0.0.0,20021010,2002,10,10,---CVL,,CVL,,USAMIL,USA,MIL,,010,01,0,0.0,,,,,,,,5e42d9d9367baed0343455c8_12,---,NYT,"Leaders of the council of settlements expressed dismay , saying that despite continuing negotiations , they were informed at an overnight meeting with the chief of the army 's Central Command that orders had gone out to remove the outposts .",---,23873100
213,3586667_v0.0.0,20030430,2003,04,30,---OPP,,OPP,,---GOV,,GOV,,060,06,2,6.0,,,,,,,,5e42d9d9367baed0343455da_22,---,NYT,"The protesters directed their fire at not just the mayor , but also at Gov. George E. Pataki , the rich , and private contractors doing business for the city , insisting that they could all do more to eliminate the city 's budget deficit .",---,23949162
214,3586668_v0.0.0,19880320,1988,03,20,---REB,,REB,,---CVL,,CVL,,130,13,3,-4.4,,,,,,,,5e42d9d9367baed034345580_28,---,NYT,"The rebels had issued no warning to civilians in the area , according to several witnesses .",---,22930509
215,3586669_v0.0.0,20010720,2001,07,20,CAN,CAN,,,USA,USA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
216,3586670_v0.0.0,20010720,2001,07,20,JPN,JPN,,,ITA,ITA,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
217,3586671_v0.0.0,20050505,2005,05,05,---UAF,,,UAF,---UAF,,,UAF,030,03,1,4.0,"TERROR,1",33.0,44.0,Republic of Iraq,,IRQ,,5e42d9d9367baed0343455f5_1,---,NYT,"A well-known terrorist group , Ansar al-Sunna , which has been active in northern Iraq , took responsibility for the blast and said it was intended as retribution for the involvement of Kurdish troops fighting insurgents alongside American forces .",---,24044048
218,3586672_v0.0.0,19840618,1984,06,18,---MILCOP,,MIL,COP,---MIL,,MIL,,015,01,0,0.0,"SECURITY_SERVICES,1",,,,,,,5e42d9d9367baed034345556_10,---,NYT,"Military and police sources have said about 1,000 Sikhs and 220 soldiers were killed in the assault .",---,22601211
219,3586673_v0.0.0,20020221,2002,02,21,COLMIL,COL,MIL,,---CVL,,CVL,,190,19,4,-10.0,,,,,,,,5e42d9d9367baed0343455c4_31,---,NYT,<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> Colombian soldiers surrounded a domestic airliner hijacked by rebels yesterday .,---,23855995
220,3586674_v0.0.0,20050305,2005,03,05,RUSGOV,RUS,GOV,,---MED,,MED,,010,01,0,0.0,,42.90547,133.69834,Kiyevka,,RUS,,5e42d9d9367baed0343455f0_44,---,NYT,"<umient> <uopts> <ety> 22 </ety> <enum> 0 </enum> </uopts> <text-table> <row> <cell> </cell> <cell> </cell> <cell> </cell> </row> <row> <cell> </cell> <cell> -------------------- </cell> <cell> </cell> </row> </text-table> </umient> Putin to Visit UkraineBy The New York Times <break/> MOSCOW , March 4 -- President Vladimir V. Putin will travel to Kiev on March 19 for his first visit since President Yushchenko 's election in December , the Kremlin press service said Friday on its Website .",---,24034475
221,3586675_v0.0.0,20000417,2000,04,17,---OPP,,OPP,,---COP,,COP,,190,19,4,-10.0,"SECURITY_SERVICES,1",47.50012,-120.50147,Washington,Washington,USA,,5e42d9d9367baed0343455b2_74,---,NYT,A8 -RRB- ; Protesters clashed a few times yesterday with police officers who cordoned off downtown Washington .,---,23743538
222,3586676_v0.0.0,20010720,2001,07,20,GBR,GBR,,,CAN,CAN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
223,3586677_v0.0.0,20050326,2005,03,26,USAMIL,USA,MIL,,---REB,,REB,,190,19,4,-10.0,"SECURITY_SERVICES,1",34.1959,43.88568,SÄmarrÄâ,Muhafazat Salah ad Din,IRQ,,5e42d9d9367baed0343455f3_21,---,NYT,"Although Iraqi commandos led the raid , most of the insurgents were killed by the American helicopter gunships they called in , Maj. Sarmut Hussein , a police commando , said in an interview at his headquarters in Samarra .",---,24037789
224,3586678_v0.0.0,20020811,2002,08,11,USA,USA,,,RUSMIL,RUS,MIL,,010,01,0,0.0,,,,,,,,5e42d9d9367baed0343455ca_17,---,NYT,"More recently in the Caucasus , Arthur C. Helton at the Council on Foreign Relations in New York said , `` Russian soldiers in Chechnya pick up Chechen men all the time and send them to ` filtration centers , ' where they are treated harshly , and some of them disappear ; but the Chechens also capture or kidnap Russians or other Chechens or foreigners . ''",---,23878733
225,3586679_v0.0.0,20010720,2001,07,20,USA,USA,,,JPN,JPN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
226,3586680_v0.0.0,20051027,2005,10,27,ISRGOVMIL,ISR,GOV,MIL,ISRGOV,ISR,GOV,,037,03,1,5.0,,31.5,34.46667,Gaza,,PSE,,5e42d9d9367baed0343455fc_32,---,NYT,"In neighboring Egypt , President Hosni Mubarak and Israel 's defense minister , Shaul Mofaz , reached an agreement in principle that would allow the reopening of the Rafah border crossing between southern Gaza and Egypt .",---,24068845
227,3586681_v0.0.0,20011230,2001,12,30,USAELI,USA,,ELI,---MIL,,MIL,,100,10,3,-5.0,"CHEMICAL_WEAPONS,1",16.0,30.0,Republic of the Sudan,,SDN,,5e42d9d9367baed0343455bc_163,---,NYT,"Thirteen days after the embassy bombings , President Clinton nonetheless ordered cruise missile strikes on a Qaeda camp in Afghanistan and a pharmaceutical plant in Sudan that officials said was linked to Mr. bin Laden and chemical weapons .",---,23810040
228,3586682_v0.0.0,20050712,2005,07,12,---REB,,REB,,IRQOCC,IRQ,,OCC,193,19,4,-10.0,"CHECKPOINT,1;SECURITY_SERVICES,1",33.80809,44.53343,KhÄliÅ,DiyÄlÃ¡,IRQ,,5e42d9d9367baed0343455f9_4,---,NYT,"Guerrillas firing mortars , machine guns and semiautomatic weapons stormed an Iraqi checkpoint about 5 a.m. , killing eight Iraqi soldiers , said the Khalis police chief , Col. Mahdi Saleh .",---,24053883
229,3586683_v0.0.0,20010605,2001,06,05,---GOV,,GOV,,---CVL,,CVL,,110,11,3,-2.0,,,,,,,,5e42d9d9367baed0343455bb_13,---,NYT,"According to those accounts , the then-crown prince argued at dinner with his parents about his choice of a bride .",---,23806861
230,3586684_v0.0.0,20020419,2002,04,19,---UAF,,,UAF,---PPL,,,PPL,190,19,4,-10.0,"TERROR,1",,,,,,,5e42d9d9367baed0343455d0_6,---,NYT,"By the government 's count , 319 people , including Michal , have been killed in terrorist attacks since September 2000 , when the Palestinian uprising began .",---,23887704
231,3586685_v0.0.0,20020427,2002,04,27,---LEG,,,LEG,---GOV,,GOV,,1014,10,3,-5.0,,,,,,,,5e42d9d9367baed0343455ce_10,---,NYT,"On Thursday , the National Assembly voted to establish an independent truth commission to support and monitor government investigations into the violence .",---,23886646
232,3586686_v0.0.0,20040130,2004,01,30,ISR,ISR,,,LBNCRM,LBN,CRM,,112,11,3,-2.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455de_18,---,NYT,"Israel said some of the Lebanese prisoners being freed had killed Israeli soldiers in Lebanon , but emphasized that the Palestinians released did not have `` blood on their hands . ''",---,23968047
233,3586687_v0.0.0,20010208,2001,02,08,---COP,,COP,,---MED,,MED,,120,12,3,-4.0,"VIOLENT_UNREST,1",,,,,,,5e42d9d9367baed0343455b8_4,---,NYT,"And on Saturday , riot police officers prevented nearly 100 journalists from holding a peaceful march to protest state harassment .",---,23778450
